r3000,r5000,noxevent,r2000,coevent,system_time,gps_time,latitude,longitude
25,37,99,35,3,2018-03-06 14:30:08.012741,14:30:07,52.56506983333333,13.409387166666667
25,37,99,35,3,2018-03-06 14:30:09.040657,14:30:08,52.56507083333333,13.409386833333333
25,37,99,35,3,2018-03-06 14:30:10.054708,14:30:09,52.565071833333334,13.409386333333334
25,37,99,35,3,2018-03-06 14:30:11.117330,14:30:11,52.565074,13.409386
25,37,99,35,3,2018-03-06 14:30:12.169944,14:30:12,52.5650745,13.4093875
25,37,99,35,3,2018-03-06 14:30:13.203877,14:30:13,52.565074833333334,13.409389833333334
25,37,99,35,3,2018-03-06 14:30:14.291800,14:30:14,52.56507466666667,13.409393166666666
25,37,99,35,3,2018-03-06 14:30:15.306144,14:30:15,52.565074333333335,13.409396
25,37,99,35,3,2018-03-06 14:30:16.372946,14:30:16,52.56507383333334,13.409399666666667
25,37,99,35,3,2018-03-06 14:30:17.391486,14:30:17,52.56507366666666,13.409402333333333
25,37,99,35,3,2018-03-06 14:30:18.469254,14:30:18,52.5650735,13.409405
25,37,99,35,3,2018-03-06 14:30:19.501768,14:30:19,52.565073,13.409405666666666
25,37,99,35,3,2018-03-06 14:30:20.521759,14:30:20,52.56507383333334,13.409407333333334
25,37,99,35,3,2018-03-06 14:30:21.572593,14:30:21,52.565074833333334,13.40941
25,37,99,35,3,2018-03-06 14:30:22.635739,14:30:22,52.5650745,13.409407166666666
25,37,99,35,3,2018-03-06 14:30:23.738072,14:30:23,52.5650745,13.409404333333333
25,37,99,35,3,2018-03-06 14:30:24.807099,14:30:24,52.56507466666667,13.4094025
25,37,99,35,3,2018-03-06 14:30:25.873826,14:30:25,52.5650645,13.409399833333334
25,37,99,35,3,2018-03-06 14:30:26.899298,14:30:26,52.56506183333333,13.409392666666667
25,37,99,35,3,2018-03-06 14:30:27.953190,14:30:27,52.565061166666666,13.409391666666666
25,37,99,35,3,2018-03-06 14:30:28.973019,14:30:28,52.56506133333333,13.409391666666666
25,37,99,35,3,2018-03-06 14:30:29.986971,14:30:29,52.565058666666665,13.40939
25,37,99,35,3,2018-03-06 14:30:31.036515,14:30:30,52.56505583333333,13.4094005
25,37,99,35,3,2018-03-06 14:30:32.050932,14:30:32,52.565053,13.409406
25,37,99,35,3,2018-03-06 14:30:33.074623,14:30:33,52.56505816666667,13.409406
25,37,99,35,3,2018-03-06 14:30:34.094766,14:30:34,52.5650465,13.4093945
25,37,99,35,3,2018-03-06 14:30:35.114747,14:30:35,52.565056166666665,13.409410166666667
25,37,99,35,3,2018-03-06 14:30:36.137009,14:30:36,52.565062833333336,13.409412833333333
25,37,99,35,3,2018-03-06 14:30:37.153327,14:30:37,52.56507533333333,13.409409166666666
25,37,99,35,3,2018-03-06 14:30:38.167894,14:30:38,52.565090833333336,13.409408666666666
25,37,99,35,3,2018-03-06 14:30:39.182842,14:30:39,52.5651035,13.409414666666667
25,37,99,35,3,2018-03-06 14:30:40.203482,14:30:40,52.565113333333336,13.409419
25,37,99,35,3,2018-03-06 14:30:41.241562,14:30:41,52.56512466666667,13.409417
25,37,99,35,3,2018-03-06 14:30:42.271019,14:30:42,52.56514383333333,13.409416166666666
25,37,99,35,3,2018-03-06 14:30:43.317169,14:30:43,52.56515483333333,13.409418333333333
